Flow loop control.T+,Function Creation.T+,Function access.S+,Operator expression.T+,Variable declaration.T+;3;[apache_tomcat-be714c7adf4b61cb0e5ddb6d95eefede75c6c691, google_ExoPlayer-8db1331021c46a6357a70ebc6f68b59ccbcff3c0, brettwooldridge_HikariCP-3dc3f619b4831f39e53bf86b54d7c0c9a8477774]
Flow loop control.T+,Function Creation.T+,Function access.S+,Operator expression.T+,Variable declaration.S+;2;[google_ExoPlayer-c2df814b5890826d667eae73e5c7f05ca8614414, brettwooldridge_HikariCP-3dc3f619b4831f39e53bf86b54d7c0c9a8477774]
Conditional.S+,Function access.T+;7;[apache_tomcat-7d8603047e8b9b0639bd47562ad3c626bd0d4ea1, apache_tomcat-e624cd9aebd80d3f3279a02b0716504ddd8fc30c, apache_tomcat-fda36f450f77836a85913aafbbcb177fb63dee98, elastic_elasticsearch-hadoop-c6327839e4d8dd7b35fcae06291cf3f69c26d71e, apache_derby-50734d82d276fa9ed8e8d5caad2be8ecec410910, brettwooldridge_HikariCP-3dc3f619b4831f39e53bf86b54d7c0c9a8477774, apache_derby-582425f25314e4410860dfd37f7d12fda13532b5]
Conditional.S+,Function access.S+;5;[elastic_elasticsearch-hadoop-c6327839e4d8dd7b35fcae06291cf3f69c26d71e, apache_tomcat-78b83844361c7113e81ddb0df7cf9c7abcbadc8d, apache_tomcat-401f4bc7c5140813496c140604a228c638df9bf5, brettwooldridge_HikariCP-3dc3f619b4831f39e53bf86b54d7c0c9a8477774, apache_derby-582425f25314e4410860dfd37f7d12fda13532b5]
Conditional.S+,Function access.S-;4;[elastic_elasticsearch-hadoop-c6327839e4d8dd7b35fcae06291cf3f69c26d71e, apache_tomcat-78b83844361c7113e81ddb0df7cf9c7abcbadc8d, apache_tomcat-401f4bc7c5140813496c140604a228c638df9bf5, brettwooldridge_HikariCP-3dc3f619b4831f39e53bf86b54d7c0c9a8477774]
Conditional.T+,Flow loop control.T+,Operator expression.S-;3;[apache_derby-03f15c03ba86933788d886c742ce02293a04fcee, netty_netty-57e7571c65f181df97ea7bbab372659a0baedfa1, apache_tomcat-ca205c1c429f5a497c57fbbcdf17bf19d8ea0ec5]
Conditional.T+,Flow loop control.T+,Operator expression.T+;6;[apache_tomcat-8b35e06bcacc9094dc1b582362bf722fd681fc64, apache_tomcat-e6b96a86bc1385e193ce11e282244c846d7cf675, apache_derby-03f15c03ba86933788d886c742ce02293a04fcee, apache_derby-0acf7976c436fa24cd3b9825286fa2f96adeb350, netty_netty-57e7571c65f181df97ea7bbab372659a0baedfa1, apache_tomcat-ca205c1c429f5a497c57fbbcdf17bf19d8ea0ec5]
Exception Handler.T+,Function access.S+,Function access.S-,Operator expression.T+,Variable declaration.T+;2;[apache_derby-47f286f672c05c2806e8fe2554865a2fcdeac382, brettwooldridge_HikariCP-3dc3f619b4831f39e53bf86b54d7c0c9a8477774]
Conditional.S-,Function access.S-,Operator expression.S+,Operator expression.S-;2;[elastic_elasticsearch-hadoop-c6327839e4d8dd7b35fcae06291cf3f69c26d71e, apache_tomcat-78b83844361c7113e81ddb0df7cf9c7abcbadc8d]
Class Creation.S-,Function access.S+,Function access.T+,Operator expression.S-,Variable declaration.T+;2;[google_ExoPlayer-8db1331021c46a6357a70ebc6f68b59ccbcff3c0, brettwooldridge_HikariCP-3dc3f619b4831f39e53bf86b54d7c0c9a8477774]
