How experienced would you consider yourself to be in applying refactorings?,Which IDEs do you use for refactoring or have knowledge of their refactoring tools?,"On a scale of 1 to 5 (where 5 indicates a lot of experience and 1 indicates little or no experience), how experienced would you consider yourself to be about applying the refactorings below? [Extract Method]","On a scale of 1 to 5 (where 5 indicates a lot of experience and 1 indicates little or no experience), how experienced would you consider yourself to be about applying the refactorings below? [Inline Method]","On a scale of 1 to 5 (where 5 indicates a lot of experience and 1 indicates little or no experience), how experienced would you consider yourself to be about applying the refactorings below? [Move Method]","On a scale of 1 to 5 (where 5 indicates a lot of experience and 1 indicates little or no experience), how experienced would you consider yourself to be about applying the refactorings below? [Pull Up Method]","1-In the example below, a developer chose to swap the call to methodA () contained in methodB () with a call to the extractedFromA () method after applying the Extract Method refactoring. Is the developer having tool support in their decision to add, remove or swap calls (in client methods) in the methods affected by the refactoring relevant to you?","If you wish, please explain your answer to question 1.","2-In the example below, a developer chose to keep the exception handling of methodA () (required for functionality 2) after the Extract Method refactoring, though they could have chosen to extract the handler as well. Is the developer having tool support in their decision on where the handling of this exception should occur relevant to you?","If you wish, please explain your answer to question 2.","3-In the example below, a developer chose to incorporate methodB (x) into the return of methodA () after the Inline Method refactoring, though they could have chosen to save the embedded statements in a variable and then return the variable. Is the developer having tool support in their decision on which embedded methods should be part of the return statement of the method that incorporated it and in Client methods relevant to you?","If you wish, please explain your answer to question 3.","4-In the example below, a developer chose to incorporate methodB (y) into an arithmetic expression in methodA () after the Inline Method refactoring, although they could have chosen to save the embedded statements in a variable and then add the variable to the expression. Is the developer having tool support in their decision on whether the embedded method should remain in the expression or be treated beforehand relevant to you?","If you wish, please explain your answer to question 4.","5-In the example below, a developer chose to assign the extracted method (methodExtracted ()) to a variable, although they could only call methodExtracted () during the logic of methodA (). Is the developer having tool support in their decision on whether the extracted method should be assigned to a variable relevant to you?","If you wish, please explain your answer to question 5.","6-In the example below, a developer chose to move the methodA () body to a super class to an existing method during a Pull Up Method. Is the developer having tool support in their decision on whether the whole method, including its declaration, should be moved or just the body of the method relevant to you?","If you wish, explain your answer to question 6.","Would you like to add any other comments about the previous questions? If so, please indicate the question and the observations related to it.","Do you believe that your favored IDE supports the decisions of the previous questions through its refactoring tool? If not, what limitations do you believe your favored IDE has?"
"A little experienced, I rarely apply them.",Eclipse,3,3,3,3,Yes,,No,,Yes,,No,,No,,Yes,,,No. The developer has no support in decision making.
"Very experienced, I apply them frequently.",Eclipse,5,5,5,5,Yes,Less error-proneness.,Yes,Alerting about the two options helps the developer choose,Yes,Ditto,Yes,Ditto,Yes,Ditto,Yes,Accelerates well-thought-out decisions about refactoring.,IDEs / tools should automate more refactoring alternatives,No. All the situations answered above.
"Very experienced, I apply them frequently.","NetBeans, Eclipse, IntelliJ, VS Code",5,5,3,4,Yes,"It is relevant, as part of the extracted code can have its utility affected.",No,"Point out where the treatment should be helps the developer understand how to code better, as well as how to make the code more coherent.",Yes,"Yes, it is relevant. It is not always clear if a method should be incorporated or to stay isolated. Some recommendations can help to create a habit in the development process.",No,Keeping the responsibility isolated should include the treatment.,Yes,,Yes,"Yes, it is relevant. The developer should be assisted, as the merging of codes can directly affect other parts of the program.",,"I use Eclipse a lot, and although I get a lot of warnings about the risk of certain refactorings, it's not clear what rules are used to determine these preconditions. This should differ for each IDE."
"Experienced, I apply them occasionally.","Eclipse, IntelliJ",5,4,4,4,Yes,,Yes,"It is important for the developer to know the drawbacks of each option. In this case, it is necessary to treat the exception in each layer.",No,,No,In my opinion this decision is much more related to style.,No,,Yes,The swap can affect other customers.,,"I confess that I'm not sure about the type of support and ""tips"" that IDE provides. I only use the features"
"Experienced, I apply them occasionally.","Eclipse, VisualStudio",5,5,5,4,No,I consider the change (rename) simple.,Yes,"The exception treatment could contain complex catch blocks. Generally, the decision of where the exception should be treated is error-prone.",No,Because it is an inline method which is a very self-contained refactoring.,Yes,A tool to alert of the possible creation of a complex expression (code smell) would be relevant.,No,"I do not find it difficult to assess the need to save the return., taking into account tools available in current IDEs.",No,I believe it is an observation of behavior change or not. Covered by tests.,"Sometimes, the nature of the possible tool could be indicated. For example, in example 6 is it just about behavior verification? In example 2 is it about exception handling?","The IDEs provide support for the execution of the classic refactorings presented. However, the variants shown are not completely covered. In addition, it contains some limitations in presenting more information about the modified behavior or the treatment of failures and possible associated limitations."
"Experienced, I apply them occasionally.","Eclipse, IntelliJ",5,1,4,3,Yes,"I think that without the context of the application it is hard to evaluate if it was the right decision, as now functionality 1 is no longer executed. Maybe with help from a tool, the developer would notice it, since the lost method would be called from its previous location. Ps: in the right side of the refactoring, the 1 in ""Functionality 1"" is missing.",No,,Yes,"MethodB does not return the treatment, so methodA beforehand would also not return anything, as a consequence. Now, on the right side, methodA is now returning the treatment of X.",No,"To be honest, the code snippets are a bit confusing. In the example above we have a return in the snippet and afterwards we do not, and my answer was according to it. Now this snippet does not have the return of the method, but I believe it should have?! I understand it should be as succint as possible, but it caused me confusion.",Yes,"In the code on the left, is int c = x treatment?",Yes,,Please read the answer to question 4,"Yes, but the ides have problems and apply refactoring in the wrong way."
"Experienced, I apply them occasionally.","Eclipse, IntelliJ",5,1,4,3,Yes,"I think that without the context of the application it is hard to evaluate if it was the right decision, as now functionality 1 is no longer executed. Maybe with help from a tool, the developer would notice it, since the lost method would be called from its previous location. Ps: in the right side of the refactoring, the 1 in ""Functionality 1"" is missing.",No,,Yes,"MethodB does not return the treatment, so methodA beforehand would also not return anything, as a consequence. Now, on the right side, methodA is now returning the treatment of X.",No,"To be honest, the code snippets are a bit confusing. In the example above we have a return in the snippet and afterwards we do not, and my answer was according to it. Now this snippet does not have the return of the method, but I believe it should have?! I understand it should be as succint as possible, but it caused me confusion.",Yes,"In the code on the left, is int c = x treatment?",Yes,,Please read the answer to question 4,"Yes, but the ides have problems and apply refactoring in the wrong way."
"Very experienced, I apply them frequently.",IntelliJ,5,5,4,5,Yes,Yes. To decide if this is a good refactoring or not (what impact does it have?) and if it was done with no problems (if everything still works afterwards),Yes,What are the advantages and disadvantages of taking the try/catch with it?,No,"Supposing that the treatment of X was something simple, I do not believe that tool support would help very much. Maybe deciding which is the team's pattern, an a linter to maintain it?",No,Similar answer to the above. Follow the pattern of the team.,Yes,"What is the benefit of taking the ""X treatment"" to another method? Will method A get much better?",Yes,Perhaps this is the most difficult and important. Tools that say that if I take the code up I won't break any other implementation of the parent class is important.,,"The decisions are not. But she does these refactorings for me, without me having to worry about making the code compile (after all, she rarely breaks the code, in terms of compilation)."
"A little experienced, I rarely apply them.",VSCode,3,1,3,2,Yes,,Yes,,Yes,,No,,Yes,,Yes,,,"As I don't usually do refactorings, I'm not sure about the limitations of my IDE, however, with the help of plugins, I have some tools that help refactor with common community practices."
"Experienced, I apply them occasionally.","NetBeans, Eclipse",4,3,5,5,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,"I have not tested these scenarios but I believe it is not supportive. For example, in question 1, when applying the Extract Method, Eclipse does not provide the option to modify a method affected by refactoring. This would have to be done manually. Making these changes manually is risky, as as shown in the examples on this form, changes can change the behavior of the program, and this is not always the intention of the developer."
"Experienced, I apply them occasionally.",Eclipse,4,2,4,2,Yes,"yes, because it reduces the coding time.",No,,No,,Yes,,Yes,,Yes,,,"No, some plugins that suggest refactorings are confusing and have bugs and therefore end up not providing the necessary confidence for these tasks."
